source_id,n_spectra,page,n_failed
RUBIES-UDS-46885,1,0315_RUBIES-UDS-46885.html,0
RUBIES-UDS-146995,2,0316_RUBIES-UDS-146995.html,0
RUBIES-EGS-19174,2,0317_RUBIES-EGS-19174.html,0
CEERS-11728,4,0318_CEERS-11728.html,0
RUBIES-UDS-22304,1,0319_RUBIES-UDS-22304.html,0
RUBIES-UDS-147411,0,0320_RUBIES-UDS-147411.html,0
RUBIES-UDS-11721,2,0321_RUBIES-UDS-11721.html,0
RUBIES-UDS-155916,2,0322_RUBIES-UDS-155916.html,0
RUBIES-UDS-35974,2,0323_RUBIES-UDS-35974.html,0
RUBIES-UDS-63139,1,0324_RUBIES-UDS-63139.html,0
RUBIES-UDS-48507,1,0325_RUBIES-UDS-48507.html,0
RUBIES-UDS-19484,2,0326_RUBIES-UDS-19484.html,0
RUBIES-EGS-45599,1,0327_RUBIES-EGS-45599.html,0
RUBIES-EGS-46985,2,0328_RUBIES-EGS-46985.html,0
RUBIES-EGS-17146,3,0329_RUBIES-EGS-17146.html,0
CEERS-672,3,0330_CEERS-672.html,0
CEERS-397,6,0331_CEERS-397.html,0
