distance_group,srcid,grade,z_use,href
CEERS__source_id_fof_07833,29955,3.0,2.0126,sources/source_0128_CEERS__source_id_fof_07833.html
CEERS__source_id_fof_08332,27164,3.0,2.0156,sources/source_0129_CEERS__source_id_fof_08332.html
CEERS__source_id_fof_07819,25998,3.0,2.0165,sources/source_0130_CEERS__source_id_fof_07819.html
CEERS__source_id_fof_08408,31789,3.0,2.0183,sources/source_0131_CEERS__source_id_fof_08408.html
CEERS__source_id_fof_08350,28430,3.0,2.0198,sources/source_0132_CEERS__source_id_fof_08350.html
CEERS__source_id_fof_08840,9950,3.0,2.0316,sources/source_0133_CEERS__source_id_fof_08840.html
CEERS__source_id_fof_08814,8698,3.0,2.1149,sources/source_0134_CEERS__source_id_fof_08814.html
CEERS__source_id_fof_08249,21913,3.0,2.1333,sources/source_0135_CEERS__source_id_fof_08249.html
CEERS__source_id_fof_07809,21413,3.0,2.1402,sources/source_0136_CEERS__source_id_fof_07809.html
CEERS__source_id_fof_08224,20406,3.0,2.1427,sources/source_0137_CEERS__source_id_fof_08224.html
CEERS__source_id_fof_07774,1142,3.0,2.1434,sources/source_0138_CEERS__source_id_fof_07774.html
CEERS__source_id_fof_08602,5337,3.0,2.1506,sources/source_0139_CEERS__source_id_fof_08602.html
CEERS__source_id_fof_08003,10264,3.0,2.1686,sources/source_0140_CEERS__source_id_fof_08003.html
CEERS__source_id_fof_08473,3768,3.0,2.1875,sources/source_0141_CEERS__source_id_fof_08473.html
CEERS__source_id_fof_08197,18413,3.0,2.1953,sources/source_0142_CEERS__source_id_fof_08197.html
CEERS__source_id_fof_07821,26492,3.0,2.2075,sources/source_0143_CEERS__source_id_fof_07821.html
CEERS__source_id_fof_06068,18322,3.0,2.2189,sources/source_0144_CEERS__source_id_fof_06068.html
CEERS__source_id_fof_08360,29044,3.0,2.2346,sources/source_0145_CEERS__source_id_fof_08360.html
CEERS__source_id_fof_08291,24594,3.0,2.2362,sources/source_0146_CEERS__source_id_fof_08291.html
CEERS__source_id_fof_07829,29052,3.0,2.2736,sources/source_0147_CEERS__source_id_fof_07829.html
CEERS__source_id_fof_08348,28204,3.0,2.2966,sources/source_0148_CEERS__source_id_fof_08348.html
CEERS__source_id_fof_07800,18745,3.0,2.2973,sources/source_0149_CEERS__source_id_fof_07800.html
CEERS__source_id_fof_08493,3971,3.0,2.2992,sources/source_0150_CEERS__source_id_fof_08493.html
CEERS__source_id_fof_08363,2922,3.0,2.3030,sources/source_0151_CEERS__source_id_fof_08363.html
CEERS__source_id_fof_08596,5244,3.0,2.3075,sources/source_0152_CEERS__source_id_fof_08596.html
CEERS__source_id_fof_07781,13265,3.0,2.3085,sources/source_0153_CEERS__source_id_fof_07781.html
CEERS__source_id_fof_08484,3877,3.0,2.3158,sources/source_0154_CEERS__source_id_fof_08484.html
CEERS__source_id_fof_07789,16248,3.0,2.3178,sources/source_0155_CEERS__source_id_fof_07789.html
CEERS__source_id_fof_05939,9148,3.0,2.3208,sources/source_0156_CEERS__source_id_fof_05939.html
CEERS__source_id_fof_08227,20623,3.0,2.3334,sources/source_0157_CEERS__source_id_fof_08227.html
CEERS__source_id_fof_07807,20850,3.0,2.3371,sources/source_0158_CEERS__source_id_fof_07807.html
CEERS__source_id_fof_08545,4334,3.0,2.3404,sources/source_0159_CEERS__source_id_fof_08545.html
CEERS__source_id_fof_08207,18908,3.0,2.3417,sources/source_0160_CEERS__source_id_fof_08207.html
CEERS__source_id_fof_05280,123,3.0,2.3424,sources/source_0161_CEERS__source_id_fof_05280.html
CEERS__source_id_fof_08205,18538,3.0,2.3457,sources/source_0162_CEERS__source_id_fof_08205.html
CEERS__source_id_fof_07840,32325,3.0,2.3534,sources/source_0163_CEERS__source_id_fof_07840.html
CEERS__source_id_fof_08153,16444,3.0,2.3568,sources/source_0164_CEERS__source_id_fof_08153.html
CEERS__source_id_fof_08742,8109,3.0,2.3575,sources/source_0165_CEERS__source_id_fof_08742.html
CEERS__source_id_fof_08322,26739,3.0,2.3726,sources/source_0166_CEERS__source_id_fof_08322.html
CEERS__source_id_fof_08282,23897,3.0,2.3800,sources/source_0167_CEERS__source_id_fof_08282.html
CEERS__source_id_fof_08246,21851,3.0,2.3885,sources/source_0168_CEERS__source_id_fof_08246.html
CEERS__source_id_fof_07813,23063,3.0,2.3929,sources/source_0169_CEERS__source_id_fof_07813.html
CEERS__source_id_fof_08220,19980,3.0,2.3949,sources/source_0170_CEERS__source_id_fof_08220.html
CEERS__source_id_fof_08835,9612,3.0,2.4031,sources/source_0171_CEERS__source_id_fof_08835.html
CEERS__source_id_fof_07803,19813,3.0,2.4038,sources/source_0172_CEERS__source_id_fof_07803.html
CEERS__source_id_fof_08235,21539,3.0,2.4144,sources/source_0173_CEERS__source_id_fof_08235.html
CEERS__source_id_fof_08006,10318,3.0,2.4219,sources/source_0174_CEERS__source_id_fof_08006.html
CEERS__source_id_fof_08274,23275,3.0,2.4280,sources/source_0175_CEERS__source_id_fof_08274.html
CEERS__source_id_fof_08208,11,3.0,2.4530,sources/source_0176_CEERS__source_id_fof_08208.html
CEERS__source_id_fof_08232,21234,3.0,2.4670,sources/source_0177_CEERS__source_id_fof_08232.html
CEERS__source_id_fof_08201,18471,3.0,2.4726,sources/source_0178_CEERS__source_id_fof_08201.html
CEERS__source_id_fof_08491,3962,3.0,2.5215,sources/source_0179_CEERS__source_id_fof_08491.html
CEERS__source_id_fof_08225,20452,3.0,2.5385,sources/source_0180_CEERS__source_id_fof_08225.html
CEERS__source_id_fof_07830,29325,3.0,2.5498,sources/source_0181_CEERS__source_id_fof_07830.html
CEERS__source_id_fof_08271,23018,3.0,2.6193,sources/source_0182_CEERS__source_id_fof_08271.html
CEERS__source_id_fof_07811,22434,3.0,2.6366,sources/source_0183_CEERS__source_id_fof_07811.html
CEERS__source_id_fof_08440,3538,3.0,2.6477,sources/source_0184_CEERS__source_id_fof_08440.html
CEERS__source_id_fof_08143,15924,3.0,2.6477,sources/source_0185_CEERS__source_id_fof_08143.html
